"School_Name","Address"
"SKH HOLY SPIRIT CHURCH KG","118-129, SHUN WO HOUSE WO CHE ESTATE SHATIN NEW TERRITORIES"
"STEWARDS POOI CHUN KINDERGARTEN","G/F BLK 2 
							LEE SHING HOUSE LEE ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"STFA LEUNG LEE SAU YU (SHATIN) KG","G/F 
							WINGS A & B  HIN TAK HOUSE HIN KENG ESTATE SHATIN NEW TERRITORIES"
"THE SAL ARMY CENTALINE CHARITY FUND KG","G/F, MEI MUN HOUSE, MEI TIN ESTATE TAI WAI SHATIN NEW TERRITORIES"
"THE SALVATION ARMY SHUI CHUEN O KG","G/F., HO CHUEN HOUSE SHUI CHUEN O ESTATE SHATIN NEW TERRITORIES"
"TRUTH BAPTIST CHURCH GRACE KINDERGARTEN","LEVEL 2 GREENWOOD GARDEN NO. 7-11 SHA KOK STREET SHATIN NEW TERRITORIES"
"TRUTH BAPTIST CHURCH KINDERGARTEN","3/F BLK 3 & 4 
							WAI WAH CENTRE 11-17 SHA TIN CENTRE SHATIN NEW TERRITORIES"
"TSUNG TSIN MISS GRACEFUL KG (MA ON SHAN)","OT KG01, 1/F., KAM TAI SHOPPING CENTRE KAM TAI COURT MA ON SHAN, SHA TIN NEW TERRITORIES"
"TTMHK ON CHUNG KG","KG01, G/F., ADJACENT TO SHOU CHUEN HOUSE SHUI CHUEN O ESTATE SHATIN NEW TERRITORIES"
"TWGH CHAN KING HAR KINDERGARTEN","G/F 
							SUN YUET HOUSE SUN CHUI ESTATE SHATIN NEW TERRITORIES"
"TWGH LIU YAN TAK MEMORIAL KINDERGARTEN","G/F 
							MEI WO HOUSE WO CHE ESTATE SHATIN NEW TERRITORIES"
"TWGH LUI FUNG FAUNG MEMORIAL KG","G/F 
							SHEUNG SAM HOUSE LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"YAN OI TONG MRS CHENG TING KONG KINDERGA","UNIT KG01, G/F CHUN YEUNG SHOPPING CENTRE CHUN YEUNG ESTATE, 20 KWEI TEI STREET FO TAN, SHATIN NEW TERRITORIES"
"YIU WING ANGLO-CHINESE KINDERGARTEN","G/F 
							YIU WING HOUSE YIU ON ESTATE MA ON SHAN NEW TERRITORIES"
"YUE TIN COURT YIU WING ANGLO-CHINESE KG","BLOCK E & BLOCK G (YUE KWAN HOUSE) PODIUM LEVEL, YUE TIN COURT SHATIN NEW TERRITORIES"
"ALICE LAN&VERA SHEN EDU F DELIA PEI KG","G/F, WING B, FU SHING HOUSE FUNG SHING COURT SHATIN NEW TERRITORIES"
